138,1,A001,1800103,PT BUMI MENARA INTERNUSA,,2018-01-07,30/06/2019,180/PKS-AMD/BSP/VI/2018,AMD,1,4,,Aktif
139,5,A005,1800104,PT BUMI PEMBANGUNAN PERTIWI,,2018-01-04,31/03/2019,169/PKS-AMD/BSP/VI/2018,AMD,1,33,,Aktif
140,5,A005,1800105,PT BUMI PENGEMBANGAN PERTIWI,,2018-01-01,31/12/2018,057/PKS-AMD/BSP/II/2018,AMD,1,21,,Aktif
141,7,A007,1800106,PT BUMI PRIMA JAYA,,2017-01-10,31/03/2018,116/PKS/BSP/X/2017,PKS,1,2,,Aktif
142,4,A004,1800106,PT CANDI MEKAR,,21/11/2017,20/11/2018,029/PKS-AMD/BSP/I/2018,AMD,1,8,,Aktif
143,6,A006,1800106,PT CANDI PASIFIK,,22/12/2017,21/12/2018,022/PKS-AMD/BSP/I/2018,AMD,1,17,,Aktif
144,8,A008,1800106,PT CIMB NIAGA AUTO FINANCE,,2017-01-11,31/10/2018,005/PKS/BSP/XI/2017,PKS,1,96,,Aktif
145,4,A004,1800106,PT CITO PUTRA UTAMA,,2018-06-01,2019-05-01,066/PKS-AMD/BSP/II/2018,AMD,1,18,,Aktif
146,5,A005,1800107,PT CITRA MAHARDIKA USAHA,,20/03/2018,19/03/2019,138/PKS-AMD/BSP/IV/2018,AMD,1,4,,Aktif
147,4,A004,1800108,PT CITRA MANDIRI MULTI FINANCE,,22/11/2017,22/11/2018,334/PKS-AMD/BSP/XII/2017,AMD,1,6,,Aktif
148,5,A005,1800108,"PT CLIPAN FINANCE INDONESIA, TBK",,2017-06-03,2018-05-03,009/PKS/BSP/III/2017,PKS,1,0,,Aktif
149,4,A004,1800108,"PT CLIPAN FINANCE INDONESIA, Tbk",,2017-01-06,31/05/2018,167/PKS/BSP/VI/2017,PKS,1,0,,Aktif
150,1,A001,1800108,PT DARUSSALAM BERLIAN MOTOR,,2018-01-05,30/04/2019,146/PKS-ADD/BSP/IV/2018,ADD,1,3,,Aktif
151,1,A001,1800109,PT DESKCOL INDONESIA SEJAHTERA,,2018-01-02,2019-01-02,104/PKS-AMD/BSP/III/2018,AMD,1,8,,Aktif
152,4,A004,1800110,PT DESKCOL INDONESIA SEJAHTERA,,2018-01-06,2019-01-06,154/PKS/BSP/V/2018,PKS,1,0,,Aktif
